Gender,Country,Occupation,self_employed,family_history,treatment,Days_Indoors,Growing_Stress,Changes_Habits,Mental_Health_History,Mood_Swings,Coping_Struggles,Work_Interest,Social_Weakness
Female,Canada,Others,Yes,Yes,Yes,More than 2 months,Maybe,Yes,Maybe,Low,Yes,Yes,Maybe
Female,United Kingdom,Others,No,Yes,No,More than 2 months,Maybe,Yes,Maybe,Low,Yes,Yes,Maybe
Female,United States,Others,No,Yes,Yes,More than 2 months,Maybe,Yes,Maybe,Low,Yes,Yes,Maybe
Female,United States,Others,No,Yes,No,More than 2 months,Maybe,Yes,Maybe,Low,Yes,Yes,Maybe
Female,United States,Others,No,Yes,No,More than 2 months,Maybe,Yes,Maybe,Low,Yes,Yes,Maybe
Female,United States,Others,No,Yes,No,More than 2 months,Maybe,Yes,Maybe,Low,Yes,Yes,Maybe
Female,United States,Others,No,Yes,Yes,More than 2 months,Maybe,Yes,Maybe,Low,Yes,Yes,Maybe
Female,United States,Others,No,Yes,Yes,More than 2 months,Maybe,Yes,Maybe,Low,Yes,Yes,Maybe
Female,United States,Others,No,No,No,More than 2 months,Maybe,Yes,Maybe,Low,Yes,Yes,Maybe
Female,Canada,Others,No,Yes,Yes,More than 2 months,Maybe,Yes,Maybe,Low,Yes,Yes,Maybe
Female,United States,Others,No,Yes,No,More than 2 months,Maybe,Yes,Maybe,Low,Yes,Yes,Maybe
Female,United States,Others,No,No,Yes,More than 2 months,Maybe,Yes,Maybe,Low,Yes,Yes,Maybe
Female,United States,Others,No,No,Yes,More than 2 months,Maybe,Yes,Maybe,Low,Yes,Yes,Maybe
Female,United States,Others,No,No,Yes,More than 2 months,Maybe,Yes,Maybe,Low,Yes,Yes,Maybe
Female,United States,Others,No,Yes,Yes,More than 2 months,Maybe,Yes,Maybe,Low,Yes,Yes,Maybe
Female,United States,Others,No,Yes,Yes,More than 2 months,Maybe,Yes,Maybe,Low,Yes,Yes,Maybe
Female,United States,Others,No,Yes,Yes,More than 2 months,Maybe,Yes,Maybe,Low,Yes,Yes,Maybe
Female,Canada,Others,Yes,Yes,Yes,More than 2 months,Maybe,Yes,Maybe,Low,Yes,Yes,Maybe
Female,United States,Others,No,Yes,No,More than 2 months,Maybe,Yes,Maybe,Low,Yes,Yes,Maybe
Female,United Kingdom,Others,No,No,Yes,More than 2 months,Maybe,Yes,Maybe,Low,Yes,Yes,Maybe
Female,United Kingdom,Others,No,Yes,No,More than 2 months,Maybe,Yes,Maybe,Low,Yes,Yes,Maybe
Female,United States,Others,No,No,Yes,More than 2 months,Maybe,Yes,Maybe,Low,Yes,Yes,Maybe
Female,United States,Others,No,No,Yes,More than 2 months,Maybe,Yes,Maybe,Low,Yes,Yes,Maybe
Female,United States,Others,No,Yes,Yes,More than 2 months,Maybe,Yes,Maybe,Low,Yes,Yes,Maybe
Female,United States,Others,No,Yes,Yes,More than 2 months,Maybe,Yes,Maybe,Low,Yes,Yes,Maybe
Female,Belgium,Others,No,No,No,More than 2 months,Maybe,Yes,Maybe,Low,Yes,Yes,Maybe
Female,Ireland,Others,No,No,No,More than 2 months,Maybe,Yes,Maybe,Low,Yes,Yes,Maybe
Female,United States,Others,No,No,Yes,More than 2 months,Maybe,Yes,Maybe,Low,Yes,Yes,Maybe
Female,United Kingdom,Others,No,No,Yes,More than 2 months,Maybe,Yes,Maybe,Low,Yes,Yes,Maybe
Female,Ireland,Others,No,Yes,No,More than 2 months,Maybe,Yes,Maybe,Low,Yes,Yes,Maybe
Female,United Kingdom,Others,No,Yes,Yes,More than 2 months,Maybe,Yes,Maybe,Low,Yes,Yes,Maybe
Female,United States,Others,No,Yes,Yes,More than 2 months,Maybe,Yes,Maybe,Low,Yes,Yes,Maybe
Female,United States,Others,,No,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Others,,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Others,,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Others,No,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Others,No,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,Poland,Others,No,No,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,Australia,Others,No,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Others,No,No,No,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Others,No,No,No,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Others,No,No,No,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Others,No,Yes,No,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Others,No,No,No,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Others,No,No,No,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,Canada,Others,No,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Others,No,No,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United Kingdom,Others,No,No,No,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Others,No,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,South Africa,Others,Yes,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Others,No,No,No,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Others,No,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Others,No,No,No,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,Canada,Others,No,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United Kingdom,Others,No,No,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Others,No,No,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Others,No,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Others,No,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Others,No,No,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Others,No,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Others,No,No,No,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Others,No,No,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Others,No,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Others,No,No,No,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,Sweden,Others,No,Yes,No,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Others,No,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,Sweden,Others,No,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Others,No,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Others,No,No,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Others,No,No,No,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Others,No,No,No,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Others,No,Yes,No,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United Kingdom,Others,No,No,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United Kingdom,Others,No,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Others,No,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Others,Yes,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Others,No,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Others,No,No,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Others,No,No,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Others,No,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Others,No,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,Canada,Others,Yes,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,Australia,Others,No,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Others,No,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Others,No,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,New Zealand,Others,No,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,Canada,Others,No,No,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Others,No,No,No,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Others,No,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Others,No,No,No,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Others,No,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Others,No,No,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Others,No,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Others,No,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United Kingdom,Others,No,No,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,Australia,Others,No,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,Netherlands,Others,No,No,No,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,Australia,Others,No,Yes,No,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Others,No,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United Kingdom,Others,No,No,No,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,India,Others,No,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,Canada,Others,No,No,No,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Others,No,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Others,No,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Others,No,No,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Others,Yes,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Others,No,No,No,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United Kingdom,Others,No,No,No,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Others,No,No,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Others,No,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Others,No,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Others,No,No,No,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Others,No,No,No,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Others,No,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Others,No,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United Kingdom,Others,No,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United Kingdom,Others,No,Yes,No,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United Kingdom,Others,No,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,Canada,Others,No,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Others,No,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United Kingdom,Others,Yes,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,Canada,Others,Yes,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United Kingdom,Others,No,Yes,No,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Others,No,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Others,No,Yes,No,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Others,No,Yes,No,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Others,No,Yes,No,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Others,No,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Others,No,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Others,No,No,No,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,Canada,Others,No,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Others,No,Yes,No,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Others,No,No,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Others,No,No,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Others,No,No,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Others,No,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Others,No,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Others,No,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,Canada,Others,Yes,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Others,No,Yes,No,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United Kingdom,Others,No,No,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United Kingdom,Others,No,Yes,No,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Others,No,No,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Others,No,No,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Others,No,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Others,No,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,Belgium,Others,No,No,No,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,Ireland,Others,No,No,No,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Others,No,No,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United Kingdom,Others,No,No,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,Ireland,Others,No,Yes,No,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United Kingdom,Others,No,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Others,No,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,Maybe
Female,United States,Student,,No,Yes,Go out Every day,No,No,Maybe,Low,Yes,Maybe,Yes
Female,United States,Student,,Yes,Yes,Go out Every day,No,No,Maybe,Low,Yes,Maybe,Yes
Female,United States,Student,,Yes,Yes,Go out Every day,No,No,Maybe,Low,Yes,Maybe,Yes
Female,United States,Student,No,Yes,Yes,Go out Every day,No,No,Maybe,Low,Yes,Maybe,Yes
Female,United States,Student,No,Yes,Yes,Go out Every day,No,No,Maybe,Low,Yes,Maybe,Yes
Female,Poland,Student,No,No,Yes,Go out Every day,No,No,Maybe,Low,Yes,Maybe,Yes
Female,Australia,Student,No,Yes,Yes,Go out Every day,No,No,Maybe,Low,Yes,Maybe,Yes
Female,United States,Student,No,No,No,Go out Every day,No,No,Maybe,Low,Yes,Maybe,Yes
Female,United States,Student,No,No,No,Go out Every day,No,No,Maybe,Low,Yes,Maybe,Yes
Female,United States,Student,No,No,No,Go out Every day,No,No,Maybe,Low,Yes,Maybe,Yes
Female,United States,Student,No,Yes,No,Go out Every day,No,No,Maybe,Low,Yes,Maybe,Yes
Female,United States,Student,No,No,No,Go out Every day,No,No,Maybe,Low,Yes,Maybe,Yes
Female,United States,Student,No,No,No,Go out Every day,No,No,Maybe,Low,Yes,Maybe,Yes
Female,Canada,Student,No,Yes,Yes,Go out Every day,No,No,Maybe,Low,Yes,Maybe,Yes
Female,United States,Student,No,No,Yes,Go out Every day,No,No,Maybe,Low,Yes,Maybe,Yes
Female,United Kingdom,Student,No,No,No,Go out Every day,No,No,Maybe,Low,Yes,Maybe,Yes
Female,United States,Student,No,Yes,Yes,Go out Every day,No,No,Maybe,Low,Yes,Maybe,Yes
Female,South Africa,Student,Yes,Yes,Yes,Go out Every day,No,No,Maybe,Low,Yes,Maybe,Yes
Female,United States,Student,No,No,No,Go out Every day,No,No,Maybe,Low,Yes,Maybe,Yes
Female,United States,Student,No,Yes,Yes,Go out Every day,No,No,Maybe,Low,Yes,Maybe,Yes
Female,United States,Student,No,No,No,Go out Every day,No,No,Maybe,Low,Yes,Maybe,Yes
Female,Canada,Student,No,Yes,Yes,Go out Every day,No,No,Maybe,Low,Yes,Maybe,Yes
Female,United Kingdom,Student,No,No,Yes,Go out Every day,No,No,Maybe,Low,Yes,Maybe,Yes
Female,United States,Student,No,No,Yes,Go out Every day,No,No,Maybe,Low,Yes,Maybe,Yes
Female,United States,Student,No,Yes,Yes,Go out Every day,No,No,Maybe,Low,Yes,Maybe,Yes
Female,United States,Student,No,Yes,Yes,Go out Every day,No,No,Maybe,Low,Yes,Maybe,Yes
Female,United States,Student,No,No,Yes,Go out Every day,No,No,Maybe,Low,Yes,Maybe,Yes
Female,United States,Student,No,Yes,Yes,Go out Every day,No,No,Maybe,Low,Yes,Maybe,Yes
Female,United States,Student,No,No,No,Go out Every day,No,No,Maybe,Low,Yes,Maybe,Yes
Female,United States,Student,No,No,Yes,Go out Every day,No,No,Maybe,Low,Yes,Maybe,Yes
Female,United States,Student,No,Yes,Yes,Go out Every day,No,No,Maybe,Low,Yes,Maybe,Yes
Female,United States,Student,No,No,No,Go out Every day,No,No,Maybe,Low,Yes,Maybe,Yes
Female,Sweden,Student,No,Yes,No,Go out Every day,No,No,Maybe,Low,Yes,Maybe,Yes
Female,United States,Student,No,Yes,Yes,Go out Every day,No,No,Maybe,Low,Yes,Maybe,Yes
Female,Sweden,Student,No,Yes,Yes,Go out Every day,No,No,Maybe,Low,Yes,Maybe,Yes
Female,United States,Student,No,Yes,Yes,Go out Every day,No,No,Maybe,Low,Yes,Maybe,Yes
Female,United States,Student,No,No,Yes,Go out Every day,No,No,Maybe,Low,Yes,Maybe,Yes
Female,United States,Student,No,No,No,Go out Every day,No,No,Maybe,Low,Yes,Maybe,Yes
Female,United States,Student,No,No,No,Go out Every day,No,No,Maybe,Low,Yes,Maybe,Yes
Female,United States,Student,No,Yes,No,Go out Every day,No,No,Maybe,Low,Yes,Maybe,Yes
Female,United Kingdom,Student,No,No,Yes,Go out Every day,No,No,Maybe,Low,Yes,Maybe,Yes
Female,United Kingdom,Student,No,Yes,Yes,Go out Every day,No,No,Maybe,Low,Yes,Maybe,Yes
Female,United States,Student,No,Yes,Yes,Go out Every day,No,No,Maybe,Low,Yes,Maybe,Yes
Female,United States,Student,Yes,Yes,Yes,Go out Every day,No,No,Maybe,Low,Yes,Maybe,Yes
Female,United States,Student,No,Yes,Yes,Go out Every day,No,No,Maybe,Low,Yes,Maybe,Yes
Female,United States,Student,No,No,Yes,Go out Every day,No,No,Maybe,Low,Yes,Maybe,Yes
Female,United States,Student,No,No,Yes,Go out Every day,No,No,Maybe,Low,Yes,Maybe,Yes
Female,United States,Student,No,Yes,Yes,Go out Every day,No,No,Maybe,Low,Yes,Maybe,Yes
Female,United States,Student,No,Yes,Yes,Go out Every day,No,No,Maybe,Low,Yes,Maybe,Yes
Female,Canada,Student,Yes,Yes,Yes,Go out Every day,No,No,Maybe,Low,Yes,Maybe,Yes
Female,Australia,Student,No,Yes,Yes,Go out Every day,No,No,Maybe,Low,Yes,Maybe,Yes
Female,United States,Student,No,Yes,Yes,Go out Every day,No,No,Maybe,Low,Yes,Maybe,Yes
Female,United States,Student,No,Yes,Yes,Go out Every day,No,No,Maybe,Low,Yes,Maybe,Yes
Female,New Zealand,Student,No,Yes,Yes,Go out Every day,No,No,Maybe,Low,Yes,Maybe,Yes
Female,Canada,Student,No,No,Yes,Go out Every day,No,No,Maybe,Low,Yes,Maybe,Yes
Female,United States,Student,No,No,No,Go out Every day,No,No,Maybe,Low,Yes,Maybe,Yes
Female,United States,Student,No,Yes,Yes,Go out Every day,No,No,Maybe,Low,Yes,Maybe,Yes
Female,United States,Student,No,No,No,Go out Every day,No,No,Maybe,Low,Yes,Maybe,Yes
Female,United States,Student,No,Yes,Yes,Go out Every day,No,No,Maybe,Low,Yes,Maybe,Yes
Female,United States,Student,No,No,Yes,Go out Every day,No,No,Maybe,Low,Yes,Maybe,Yes
Female,United States,Student,No,Yes,Yes,Go out Every day,No,No,Maybe,Low,Yes,Maybe,Yes
Female,United States,Student,No,Yes,Yes,Go out Every day,No,No,Maybe,Low,Yes,Maybe,Yes
Female,United Kingdom,Student,No,No,Yes,Go out Every day,No,No,Maybe,Low,Yes,Maybe,Yes
Female,Australia,Student,No,Yes,Yes,Go out Every day,No,No,Maybe,Low,Yes,Maybe,Yes
Female,Netherlands,Student,No,No,No,Go out Every day,No,No,Maybe,Low,Yes,Maybe,Yes
Female,Australia,Student,No,Yes,No,Go out Every day,No,No,Maybe,Low,Yes,Maybe,Yes
Female,United States,Student,No,Yes,Yes,Go out Every day,No,No,Maybe,Low,Yes,Maybe,Yes
Female,United Kingdom,Student,No,No,No,Go out Every day,No,No,Maybe,Low,Yes,Maybe,Yes
Female,India,Student,No,Yes,Yes,Go out Every day,No,No,Maybe,Low,Yes,Maybe,Yes
Female,Canada,Student,No,No,No,Go out Every day,No,No,Maybe,Low,Yes,Maybe,Yes
Female,United States,Student,No,Yes,Yes,Go out Every day,No,No,Maybe,Low,Yes,Maybe,Yes
Female,United States,Student,No,Yes,Yes,Go out Every day,No,No,Maybe,Low,Yes,Maybe,Yes
Female,United States,Student,No,No,Yes,Go out Every day,No,No,Maybe,Low,Yes,Maybe,Yes
Female,United States,Student,Yes,Yes,Yes,Go out Every day,No,No,Maybe,Low,Yes,Maybe,Yes
